17:02:07.419 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.redis.service.impl.ProductServiceImplTest], using SpringBootContextLoader
17:02:07.432 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.redis.service.impl.ProductServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
17:02:07.434 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.redis.service.impl.ProductServiceImplTest]: ProductServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
17:02:07.575 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.redis.DemoRedisApplication for test class com.redis.service.impl.ProductServiceImplTest
17:02:07.711 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
17:02:07.742 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@33617539, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2c177f9e, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5db4c359, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@209775a9, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@18e7143f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@f9b7332, org.springframework.test.context.transaction.TransactionalTestExecutionListener@74cec793, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6fefce9e, org.springframework.test.context.event.EventPublishingTestExecutionListener@4f8969b0, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1bdf8190, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@192f2f27, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@8a589a2, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@c65a5ef, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6b5176f2, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@b672aa8]
17:02:08.157 [main] INFO  c.r.s.impl.ProductServiceImplTest - Starting ProductServiceImplTest using Java 11.0.15 on sontt1 with PID 17684 (started by sontt1 in D:\Example\allDemoGithub\demoRedis)
17:02:08.158 [main] INFO  c.r.s.impl.ProductServiceImplTest - No active profile set, falling back to 1 default profile: "default"
17:02:08.945 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:02:08.947 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
17:02:08.973 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.redis.repository.ProductRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
17:02:08.974 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20 ms. Found 0 JPA repository interfaces.
17:02:08.987 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:02:08.988 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
17:02:09.265 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 269 ms. Found 1 Redis repository interfaces.
17:02:09.881 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
17:02:09.945 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.9.Final
17:02:10.122 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
17:02:10.736 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
17:02:10.889 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
17:02:10.913 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL55Dialect
17:02:11.088 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
17:02:11.094 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
17:02:11.375 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
17:02:13.499 [main] INFO  c.r.s.impl.ProductServiceImplTest - Started ProductServiceImplTest in 5.681 seconds (JVM running for 6.909)
17:02:13.814 [main] INFO  c.r.service.impl.ProductServiceImpl - ProductServiceImpl saveProd START with request Product(token=null, transactionNo=1110, name=Iphone 10, qty=1, price=12333.0, CreatedDate=null, UpdateDate=null)
17:02:13.832 [main] INFO  c.r.service.impl.ProductServiceImpl - ProductServiceImpl saveProd END with response Product(token=dabde0ef-f2ba-4113-a425-c2b71eaa8376, transactionNo=1110, name=Iphone 10, qty=1, price=12333.0, CreatedDate=2022-07-01 17:02:13.826, UpdateDate=null)
17:02:13.887 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
